gains_matrix_front1,gains_matrix_front2,gains_matrix_front3,gains_matrix_front4,gains_matrix_front5,gains_matrix_front6,gains_matrix_front7
9070,1.25,0.707106781186548,0.0624497496648757,1.94496273272844,0.109111864429447,0.462251089051319
9070,2.5,0.447213595499959,0.0878570358944106,1.73422158217292,0.169918866847572,0.633672820002672
9070,5,0.316227766016838,0.127814277981618,1.63920432409289,0.273127213205086,0.880092795052318
9070,7.5,0.258198889747161,0.148973326327864,1.53348537520044,0.339422389308989,1.01028252760679
9070,10,0.115470053837926,0.103751394848238,0.9416118603722,0.260943207287974,0.794223233761139
9070,12.5,0.0816496580927725,0.0924096434644488,0.734895026264984,0.24258181703244,0.737389792201036
9070,15,0.0577350269189625,0.0797008300497442,0.562428672139493,0.216112768482721,0.664129127538923
9070,17.5,0.0408248290463862,0.0674934736625144,0.425679000516154,0.187531840237465,0.586491082221416
9070,20,0.0365148371670108,0.0651090860296097,0.374222368968263,0.183058187822997,0.572332474851935
9070,22.5,0.0316227766016837,0.0610844991978352,0.322053076615743,0.173549698557416,0.545533125820519
9070,25,0.025819888974716,0.0550390367579832,0.266528928370569,0.157905924189199,0.502515102707934
9070,27.5,0.0210818510677892,0.0494418684102614,0.220829443018094,0.142966207285404,0.460915682601708
9070,30,0.0169030850945704,0.0438666551609821,0.181054249999002,0.127690002017708,0.417692855246265
9070,32.5,0.0141421356237309,0.0398558706972648,0.153098687909206,0.116583058012412,0.385590576506801
